Time(hours),strain (ustrain),Stress ,Temperature,Humidity
3928.266707,13207.97091,6.02,18.6,48
3928.766695,13210.0333,6.02,18.7,48
3929.266693,13202.18182,6.02,18.7,49
3929.766698,13203.47407,6.02,18.8,49
3930.266694,13204.75445,6.02,18.9,50
3930.766698,13208.61895,6.02,18.9,50
3931.266924,13205.98699,6.02,19,50
3931.766694,13206.50833,6.02,19,50
3932.266691,13208.04938,6.02,19,50
3932.766694,13210.62239,6.02,19.1,50
3933.266706,13211.14373,6.02,19.1,50
3933.766692,13215.00785,6.02,19.1,50
3934.266701,13214.48689,6.02,19.2,50
3934.766696,13216.54928,6.02,19.2,50
3935.266912,13221.47751,6.02,19.3,53
3935.766703,13222.50871,6.02,19.3,56
3936.266708,13228.17493,6.02,19.3,59
3936.76669,13234.36287,6.02,19.3,60
3937.266693,13236.02029,6.02,19.3,60
3937.766699,13241.4377,6.02,19.3,59
3938.266916,13255.42316,6.02,19.2,60
3938.766693,13255.94488,6.02,19.2,61
3939.266705,13257.99579,6.02,19.2,61
3939.766694,13262.63081,6.02,19.2,61
3940.266693,13264.17187,6.02,19.1,61
3940.766699,13268.55809,6.02,19.1,61
3941.266704,13270.86967,6.02,19.1,62
3941.766693,13270.86967,6.02,19.1,62
3942.26693,13273.151,6.02,19.1,62
3942.766691,13276.50603,6.02,19.1,61
3943.266694,13276.24498,6.02,19.1,61
3943.766707,13277.27617,6.02,19.1,60
3944.266707,13278.04708,6.02,19.1,58
3944.766697,13275.7355,6.02,19.1,58
3945.266695,13275.47483,6.02,19.1,58
3945.766696,13274.69206,6.02,19.1,58
3946.266919,13271.87407,6.02,19,56
3946.766694,13270.59407,6.02,19,56
3947.266702,13267.48823,6.02,19,56
3947.766695,13265.17665,6.02,19,56
3948.266696,13266.20785,6.02,19,56
3948.766692,13266.45665,6.02,19,56
3949.266707,13265.94718,6.02,19,55
3949.766696,13264.14469,6.02,19,55
3950.2667,13264.14469,6.02,19,55
3950.766919,13274.64421,6.02,19,55
3951.2667,13275.93608,6.02,19,55
3951.766703,13273.87368,6.02,19,55
3952.266709,13273.61301,6.02,19,54
3952.766695,13275.41474,6.02,19,54
3953.266692,13273.10316,6.02,19,54
3953.766699,13273.36383,6.02,19,54
3954.2667,13273.36383,6.02,19.1,54
3954.766694,13272.07196,6.02,19.1,54
3955.266705,13273.36383,6.02,19.1,53
3955.766695,13272.84172,6.02,19.1,52
3956.266697,13265.45225,6.02,19.2,52
3956.766695,13265.19158,6.02,19.3,51
3957.266709,13264.17187,6.02,19.3,50
3957.766692,13262.88,6.02,19.4,49
3958.266709,13260.56842,6.02,19.4,48
3958.766696,13259.79751,6.02,19.4,48
3959.266693,13258.50565,6.02,19.3,49
3959.766701,13257.73512,6.02,19.3,48
3960.26671,13255.16287,6.02,19.3,47
3960.766693,13253.49282,6.02,19.3,47
3961.266918,13249.33933,6.02,19.2,47
3961.7667,13245.21416,6.02,19.2,46
3962.266694,13239.80823,6.02,19.2,46
3962.766693,13236.72574,6.02,19.1,46
3963.266707,13233.63215,6.02,19.1,47
3963.766693,13231.56938,6.02,19.1,46
3964.26692,13239.5288,6.02,19.1,45
3964.766697,13233.8622,6.02,19.1,45
3965.266708,13229.9977,6.02,19.1,44
3965.766695,13228.45627,6.02,19.1,44
3966.26693,13212.73378,6.02,19,44
3966.766693,13204.73187,6.02,19,44
3967.266689,13200.86737,6.02,19,44
3967.766698,13196.49301,6.02,19,44
3968.266702,13193.39904,6.02,18.9,44
3968.76669,13188.76402,6.02,18.9,44
3969.266693,13187.47177,6.02,18.9,44
3969.766692,13184.11713,6.02,18.9,44
3970.266691,13182.05474,6.02,18.9,44
3970.766693,13178.71158,6.02,18.9,44
3971.266699,13178.19024,6.02,18.8,44
3971.766696,13175.61799,6.02,18.8,44
3972.266915,13183.26163,6.02,18.8,44
3972.766688,13180.68938,6.02,18.8,44
3973.266704,13177.85646,6.02,18.8,44
3973.766693,13175.53263,6.02,18.7,44
3974.266697,13175.53263,6.02,18.7,44
3974.76669,13171.3956,6.02,18.7,44
3975.266693,13168.81148,6.02,18.7,44
3975.766694,13167.00976,6.02,18.7,45
3976.26693,13172.5156,6.02,18.7,45
3976.766695,13172.26718,6.02,18.7,45
3977.266689,13172.5156,6.02,18.7,45
3977.766696,13172.77627,6.02,18.8,45
3978.266692,13172.77627,6.02,18.8,45
3978.766693,13176.39234,6.02,18.8,44
3979.2667,13176.64115,6.02,18.8,44
3979.766692,13179.99617,6.02,18.9,44
3980.266689,13180.12134,6.02,18.9,44
3980.766691,13179.8599,6.02,18.9,45
3981.266706,13180.63081,6.02,18.9,45
3981.766694,13182.69359,6.02,18.9,45
3982.266699,13182.95426,6.02,18.9,45
3982.766693,13184.24651,6.02,18.9,45
3983.266692,13182.18411,6.02,18.9,45
